TTT Pipeline Costs
==================

Date        | Summaries | Input Tokens | Output Tokens |    Cost
------------|-----------|--------------|---------------|--------
2026-03-14  |        1  |         752  |          514  | $ 0.0050
2026-03-15  |        1  |         570  |          409  | $ 0.0039
2026-03-16  |        1  |         412  |          324  | $ 0.0031
2026-03-17  |        1  |         594  |          445  | $ 0.0042
2026-03-18  |        1  |         658  |          374  | $ 0.0038
2026-03-19  |        1  |         802  |          397  | $ 0.0042
2026-03-20  |        1  |         778  |          408  | $ 0.0042
2026-03-21  |       15  |     251,567  |       38,419  | $ 0.6655
2026-03-23  |        7  |     114,692  |       18,992  | $ 0.3145
2026-03-24  |        6  |      89,495  |       18,960  | $ 0.2764
2026-03-25  |        4  |      40,904  |       13,320  | $ 0.1613
2026-03-26  |        3  |      45,257  |        9,489  | $ 0.1391
2026-03-27  |        4  |      47,632  |       11,170  | $ 0.1552
2026-03-28  |        3  |      57,092  |       10,557  | $ 0.1648
2026-03-29  |        3  |      30,505  |       10,177  | $ 0.1221
2026-03-30  |        5  |      84,752  |       17,404  | $ 0.2577
2026-03-31  |        5  |      96,336  |       16,419  | $ 0.2676
2026-04-01  |        5  |      60,945  |       15,449  | $ 0.2073
2026-04-02  |        3  |      31,492  |        9,602  | $ 0.1193
2026-04-03  |        9  |     282,943  |       30,836  | $ 0.6557
2026-04-04  |        9  |     199,851  |       30,961  | $ 0.5320
2026-04-07  |       20  |     202,144  |       70,479  | $ 0.8318
2026-04-08  |        6  |      44,159  |       16,195  | $ 0.1877
2026-04-09  |        7  |      21,788  |       16,073  | $ 0.1532
2026-04-10  |        9  |     103,986  |       28,123  | $ 0.6465
2026-04-11  |        8  |      77,359  |       22,808  | $ 0.2871
2026-04-12  |        4  |      25,125  |       13,215  | $ 0.1368
2026-04-13  |        6  |      51,919  |       17,691  | $ 0.2106
2026-04-14  |        6  |      49,483  |       18,342  | $ 0.2118
2026-04-15  |        6  |      33,474  |       13,944  | $ 0.1548
2026-04-16  |        9  |      58,442  |       25,254  | $ 0.4635
------------|-----------|--------------|---------------|--------
TOTAL       |      169  |   2,105,908  |      496,750  | $ 7.3505

Generated: 2026-04-23 06:43:00 UTC
